Player,Team,Pos,MP,AST%,USG%,TOV%,BadPass,LostBall,PGA,3PAr,3PAr+,3P%,TS%,TS+,FTr,FTr+,And1,ORB%,DRB%,TRB%,BLK%,STL%,DBPM,PG%,SG%,SF%,PF%,C%,Cluster,PCA1,PCA2,Primary Creator_Score,Shooting Wing_Score,Rim Protector_Score,Stretch Big_Score,Defensive Wing_Score,Interior Finisher_Score
Luka Dončić,LAL,PG,35.8,40.5,38.1,12.8,169,59,1229,0.476,115.0,0.366,0.616,106.0,0.443,168.0,64,2.2,22.5,12.7,1.4,2.2,1.3,86,14,0,0,0,4,1.7277178809738136,7.834683214823355,100.0,61.9,17.7,36.4,24.0,69.3
Shai Gilgeous-Alexander,OKC,PG,33.2,35.0,33.4,8.7,81,48,1130,0.226,54.0,0.386,0.665,114.0,0.465,176.0,61,1.9,11.7,7.0,2.3,2.0,3.0,100,0,0,0,0,4,2.108685539858586,6.075516174062188,92.4,46.4,20.1,15.4,28.7,79.6
Anthony Edwards,MIN,SG,35.0,17.6,31.5,10.9,81,61,549,0.418,101.0,0.399,0.617,106.0,0.355,135.0,40,1.9,13.4,7.8,2.0,1.9,-0.1,1,64,34,1,0,4,0.1199077832082976,3.2555741857846923,44.5,81.6,18.7,31.1,43.3,55.0
Jaylen Brown,BOS,SF,34.4,25.9,36.2,12.7,77,116,924,0.262,63.0,0.347,0.573,99.0,0.347,132.0,64,3.7,18.1,11.1,1.1,1.5,-0.1,0,13,64,23,0,4,1.5595683590809315,5.781294469926032,58.8,64.3,20.9,25.5,39.7,68.9
Tyrese Maxey,PHI,PG,38.0,28.9,29.4,9.2,88,64,1109,0.399,96.0,0.367,0.588,101.0,0.278,105.0,41,1.0,11.0,5.9,1.9,2.4,0.5,98,3,0,0,0,4,-0.4540903052618197,5.110813755568825,85.3,49.4,14.7,25.8,24.4,49.2
Kawhi Leonard,LAC,SF,32.1,21.0,33.5,8.4,52,60,585,0.354,85.0,0.387,0.629,108.0,0.331,125.0,54,4.1,18.6,11.5,1.2,2.9,0.6,0,3,67,30,1,4,1.2642616325186111,3.0769171398068744,49.1,72.4,21.1,38.1,52.3,65.0
Donovan Mitchell,CLE,SG,33.5,27.9,32.2,11.1,114,61,966,0.439,106.0,0.364,0.613,105.0,0.306,116.0,40,2.4,12.4,7.4,0.8,2.1,-0.2,19,54,25,2,0,4,-0.3627380411645988,4.780115245539085,64.1,75.8,11.5,28.1,38.3,52.0
Nikola Jokić,DEN,C,34.8,50.3,30.4,15.3,151,67,1655,0.261,63.0,0.38,0.67,115.0,0.424,161.0,45,10.0,30.4,20.7,2.2,2.0,4.1,0,0,0,0,100,4,5.757288587779855,6.402322101452121,81.1,47.4,67.0,66.1,34.4,76.1
Giannis Antetokounmpo,MIL,PF,28.9,38.7,37.0,13.2,32,40,527,0.075,18.0,0.333,0.658,113.0,0.597,226.0,42,10.7,27.4,19.2,2.3,1.6,1.8,0,0,9,62,29,1,5.914921820728236,3.1626963829554238,58.7,39.1,47.0,45.4,23.1,88.7
Joel Embiid,PHI,C,31.6,21.7,33.5,11.4,46,45,366,0.228,55.0,0.333,0.605,104.0,0.481,182.0,26,6.7,20.0,13.3,3.6,0.8,-0.2,0,0,0,0,100,1,3.8877343509837656,1.712262833612603,43.6,40.1,68.6,58.0,8.3,63.5
Lauri Markkanen,UTA,PF,34.4,10.1,28.1,6.4,19,33,222,0.402,97.0,0.355,0.608,105.0,0.333,126.0,33,6.1,15.7,10.8,1.4,1.4,-2.0,0,0,12,68,20,5,0.9113347470906312,0.0383699723170365,31.4,52.8,28.1,60.9,12.8,53.9
Stephen Curry,GSW,PG,30.9,27.0,32.5,11.9,65,34,481,0.606,146.0,0.393,0.637,110.0,0.277,105.0,24,1.4,11.7,6.5,1.2,1.8,-1.0,100,0,0,0,0,2,-1.1501164904626449,2.922062768784744,77.8,66.1,8.9,41.8,12.4,38.9
Devin Booker,PHO,SG,33.5,30.2,32.2,12.3,98,80,988,0.309,74.0,0.33,0.585,101.0,0.434,165.0,56,2.4,10.7,6.4,0.8,1.2,-1.0,5,54,38,3,0,4,0.5575273440413182,5.713303845158704,60.7,68.9,12.5,16.0,34.3,67.9
Jalen Brunson,NYK,PG,35.0,31.3,30.4,9.5,108,54,1214,0.358,86.0,0.369,0.58,100.0,0.285,108.0,49,1.3,9.4,5.3,0.3,1.1,-0.9,96,4,0,0,0,4,-0.7398858052174795,5.724944815756861,88.6,47.3,8.1,18.5,10.0,54.3
Kevin Durant,HOU,SF,36.4,20.7,27.1,13.5,136,81,847,0.327,79.0,0.413,0.641,110.0,0.339,129.0,38,1.6,14.8,8.3,2.3,1.1,0.1,0,32,61,8,0,4,0.8644210912598826,4.4025059280713945,45.6,76.6,21.9,28.6,45.0,57.4
Jamal Murray,DEN,PG,35.4,31.1,27.9,10.0,116,38,1288,0.414,100.0,0.435,0.622,107.0,0.287,109.0,35,1.4,12.0,7.0,1.0,1.2,-1.4,100,0,0,0,0,4,-0.580201946209965,4.979078055537465,88.8,54.3,11.8,29.2,9.2,49.2
Victor Wembanyama,SAS,C,29.2,17.6,32.4,10.8,50,66,484,0.324,78.0,0.349,0.626,108.0,0.417,158.0,35,7.7,33.9,21.2,9.4,1.7,4.2,0,0,0,0,100,1,6.315729624496925,1.5058066842070017,43.1,47.3,100.0,86.6,31.8,64.0
Deni Avdija,POR,SF,33.3,32.2,29.3,16.0,133,91,1119,0.369,89.0,0.318,0.6,103.0,0.573,218.0,68,3.6,19.0,11.2,1.7,1.1,0.6,0,23,62,14,0,4,2.6623942176553035,6.664006006334626,59.7,70.6,20.4,30.3,44.4,81.0
Michael Porter Jr.,BRK,SF,32.5,18.2,30.5,10.3,52,34,369,0.506,122.0,0.363,0.595,102.0,0.237,90.0,37,4.5,21.7,12.6,0.7,1.6,-1.2,0,3,76,21,0,4,-0.0942234542430938,1.2258515186000178,41.6,79.2,17.5,44.5,41.7,45.5
Pascal Siakam,IND,PF,33.2,19.9,30.1,9.5,44,53,590,0.254,61.0,0.358,0.562,97.0,0.327,124.0,47,4.6,17.4,10.9,1.0,1.6,-1.0,0,0,6,84,11,4,1.295432793179921,2.434035922685737,43.8,40.3,25.0,51.6,14.6,60.0
